condition_id,Model,param,mcmc_status,dgp_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
7,Exponential (EG),mu[1],Clean,Exponential,++,200,0.3,A,200,0.01050301994692312,0.92,0.07447826104764999,0.07089060245660014,0.07373396734664718,-0.002843364890047037
7,Exponential (EG),mu[2],Clean,Exponential,++,200,0.3,A,200,0.004895407225042851,0.98,0.0631434881989058,0.07039235737997955,0.06295343588737913,0.00743892149260042
7,Exponential (EG),phi11,Clean,Exponential,++,200,0.3,A,200,-3.2419288002606515e-4,0.975,0.010065772118272174,0.010281862448215372,0.010064936769460202,2.1692567875516988e-4
7,Exponential (EG),phi12,Clean,Exponential,++,200,0.3,A,200,-0.010826053253767958,0.975,0.009823086794363575,0.010725809671930863,0.009763247404376571,9.625622675542914e-4
7,Exponential (EG),phi21,Clean,Exponential,++,200,0.3,A,200,0.023758290750785484,0.945,0.012406678873018795,0.010980917876775683,0.01217707341130135,-0.0011961555345256676
7,Exponential (EG),phi22,Clean,Exponential,++,200,0.3,A,200,-0.005076807490537279,0.965,0.010045563460981158,0.010371913240633471,0.0098381659551587,5.337472854747716e-4
7,Exponential (EG),rho,Clean,Exponential,++,200,0.3,A,200,-0.04378067561951149,0.975,0.06186302760887364,0.06337500672928928,0.06045268318894689,0.0029223235403423864
8,Normal (NG),sigma[1],Clean,Exponential,--,200,0.3,A,200,-0.004914058605119563,0.705,0.09806850594605487,0.050390816029997676,0.09794531069181847,-0.047554494661820795
8,Normal (NG),sigma[2],Clean,Exponential,--,200,0.3,A,200,-0.007395330639989485,0.67,0.09578985458704926,0.050238310713119363,0.09550395450730444,-0.04526564379418507
8,Normal (NG),mu[1],Clean,Exponential,--,200,0.3,A,200,0.006672575025305648,0.92,0.07610334628451364,0.07131373133757327,0.07581026354150382,-0.0044965322039305505
8,Normal (NG),mu[2],Clean,Exponential,--,200,0.3,A,200,0.008275259227843614,0.93,0.07308802049954935,0.07109943087298749,0.0726180337468217,-0.0015186028738342072
8,Normal (NG),phi11,Clean,Exponential,--,200,0.3,A,200,-0.05255979809649159,0.955,0.06886524115334727,0.06814803436389562,0.06557755911100718,0.002570475252888435
8,Normal (NG),phi12,Clean,Exponential,--,200,0.3,A,200,0.012623569963390084,0.945,0.07207845554853863,0.06879660743821858,0.07206740046010023,-0.0032707930218816433
8,Normal (NG),phi21,Clean,Exponential,--,200,0.3,A,200,-0.11037600095403004,0.955,0.06926232647355558,0.06850672263700203,0.06837719833879828,1.2952429820374534e-4
8,Normal (NG),phi22,Clean,Exponential,--,200,0.3,A,200,-0.030364920449136502,0.955,0.06756954669617266,0.06801417797452093,0.06646893332757098,0.0015452446469499531
8,Normal (NG),rho,Clean,Exponential,--,200,0.3,A,200,-0.15291080395478077,0.825,0.09177935753463867,0.0656770991069326,0.07949274314377552,-0.01381564403684292
8,Exponential (EG),mu[1],Clean,Exponential,--,200,0.3,A,200,3.79674172034094e-4,0.93,0.07217825274310834,0.07019676554614519,0.07217725414956651,-0.0019804886034213154
8,Exponential (EG),mu[2],Clean,Exponential,--,200,0.3,A,200,0.0022105948266030856,0.94,0.06963790969828375,0.0700495138067505,0.06960281415042725,4.466996563232406e-4
8,Exponential (EG),phi11,Clean,Exponential,--,200,0.3,A,200,-3.2799218238218063e-4,0.94,0.01209631684279578,0.01056465340906852,0.012095605340032895,-0.0015309519309643742
8,Exponential (EG),phi12,Clean,Exponential,--,200,0.3,A,200,-0.0010413529089588053,0.95,0.01119294593636985,0.010666875854263885,0.011192461506553793,-5.255856522899081e-4
8,Exponential (EG),phi21,Clean,Exponential,--,200,0.3,A,200,2.1814076203147957e-6,0.955,0.010755990214263806,0.010516941763370449,0.010755990212051765,-2.3904844868131644e-4
8,Exponential (EG),phi22,Clean,Exponential,--,200,0.3,A,200,-0.002666054970583555,0.935,0.01159146948875248,0.010143724704214332,0.011542309519835791,-0.0013985848156214589
8,Exponential (EG),rho,Clean,Exponential,--,200,0.3,A,200,-0.0391706286851973,0.925,0.06729882855498392,0.06292411610933363,0.06626493711782798,-0.003340821008494352
9,Normal (NG),sigma[1],Clean,Exponential,+-,200,0.3,A,200,-0.003654369974203499,0.695,0.10250016395560455,0.05044805001601911,0.1024349998341263,-0.051986949818107184
9,Normal (NG),sigma[2],Clean,Exponential,+-,200,0.3,A,200,-0.008803208230159615,0.655,0.09435708799454302,0.05021938596050047,0.09394553517685865,-0.04372614921635818
9,Normal (NG),mu[1],Clean,Exponential,+-,200,0.3,A,200,-6.462425593387503e-4,0.93,0.07981009877120138,0.07136954805468272,0.07980748233357207,-0.00843793427888935
9,Normal (NG),mu[2],Clean,Exponential,+-,200,0.3,A,200,-0.0014967085690534181,0.94,0.07605138406990515,0.0710497450119978,0.07603665486071534,-0.004986909848717538
9,Normal (NG),phi11,Clean,Exponential,+-,200,0.3,A,200,-0.04371954682558864,0.94,0.06716616420247126,0.06672261168255741,0.06484959375147818,0.0018730179310792322
9,Normal (NG),phi12,Clean,Exponential,+-,200,0.3,A,200,-0.012047985500670433,0.945,0.065955280007024,0.0677272365623821,0.06594427512118618,0.0017829614411959127
9,Normal (NG),phi21,Clean,Exponential,+-,200,0.3,A,200,-0.045286589805162536,0.955,0.06668547303823036,0.06688851098239566,0.06653152307117835,3.56987911217313e-4
9,Normal (NG),phi22,Clean,Exponential,+-,200,0.3,A,200,-0.058514598037456116,0.95,0.07428125935472514,0.06686185428877875,0.07049732038855329,-0.0036354660997745397
9,Normal (NG),rho,Clean,Exponential,+-,200,0.3,A,200,-1.8596373204871417,0,0.5637082021306097,0.06557139338349917,0.08077345115785735,-0.01520205777435818
9,Exponential (EG),mu[1],Clean,Exponential,+-,200,0.3,A,200,0.003576355823219541,0.94,0.07354486524974854,0.07028990507337708,0.07345785787531103,-0.0031679528019339515
9,Exponential (EG),mu[2],Clean,Exponential,+-,200,0.3,A,200,-0.0042198811206088345,0.955,0.06923375811719336,0.07044597171524308,0.06910503502899022,0.001340936686252861
9,Exponential (EG),phi11,Clean,Exponential,+-,200,0.3,A,200,-0.0015053361464255595,0.95,0.009826610856254915,0.010292441152772827,0.009808145340178709,4.842958125941179e-4
9,Exponential (EG),phi12,Clean,Exponential,+-,200,0.3,A,200,-0.010753309588810975,0.945,0.010956785099654419,0.009907059683141343,0.010903889354211228,-9.968296710698848e-4
9,Exponential (EG),phi21,Clean,Exponential,+-,200,0.3,A,200,0.02213108248528527,0.93,0.011832267301817035,0.010407233499331767,0.011623454795453183,-0.0012162212961214156
9,Exponential (EG),phi22,Clean,Exponential,+-,200,0.3,A,200,0.001528774672592383,0.95,0.011863472590004314,0.010035290463320874,0.011847701784475084,-0.0018124113211542107
9,Exponential (EG),rho,Clean,Exponential,+-,200,0.3,A,200,-1.961466770881019,0,0.5918931067362785,0.06318002422441504,0.06384183117350613,-6.618069490910844e-4
