Model,param,mcmc_status,skew_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
SG,alpha[1],Problematic,extremeCHI,--,50,0.3,A,200,NA,NA,NA,44.051978105842664,7.838442508620728,36.213535597221934
SG,alpha[2],Problematic,extremeCHI,--,50,0.3,A,200,NA,NA,NA,45.514343407749124,8.394232985694888,37.12011042205424
SG,mu[1],Problematic,extremeCHI,--,50,0.3,A,200,-0.18823451079375042,0.565,0.2593345483957998,0.111948251833921,0.17838771521013116,-0.06643946337621016
SG,mu[2],Problematic,extremeCHI,--,50,0.3,A,200,-0.19367146089534712,0.56,0.2883113221135864,0.11308204163666476,0.2135761777295076,-0.10049413609284284
SG,phi11,Problematic,extremeCHI,--,50,0.3,A,200,-0.06250995073663114,1,0.04414689116330985,0.06438632972646284,0.03638336115327661,0.02800296857318623
SG,phi12,Problematic,extremeCHI,--,50,0.3,A,200,-0.11666602817826753,1,0.03767530543527986,0.06522639341203582,0.03582344230155311,0.029402951110482703
SG,phi21,Problematic,extremeCHI,--,50,0.3,A,200,-0.13921381327491295,1,0.043717744778246005,0.06633344542421876,0.04144196364110215,0.024891481783116613
SG,phi22,Problematic,extremeCHI,--,50,0.3,A,200,-0.06795295642632335,1,0.04397913962541797,0.06724940986603123,0.034573805637499046,0.03267560422853218
SG,rho,Problematic,extremeCHI,--,50,0.3,A,200,-0.2033535036288722,0.885,0.13141668555214728,0.10256374233687458,0.11639848354716464,-0.01383474121029006
NG,sigma[1],Clean,moderateSN,+-,50,0.3,A,200,0.014769375655244086,0.895,0.12096762490404794,0.10651608379452207,0.1200626162370316,-0.013546532442509529
